swift_code,bic8,bank_name,address,town_name,country_iso2,country_name,is_headquarter
PTFIPLPWE40,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWE50,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWE60,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWFOW,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWFSD,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWFSO,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWSIG,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
MTCCMTMTXXX,MTCCMTMT,MTACC LIMITED,"ST JULIANS BUSINESS CENTRE 2 ELIA ZAMMIT STREET - ST. JULIAN'S, ST JULIAN'S, STJ 3155",ST. JULIAN'S,MT,MALTA,1
BKCHCLRMXXX,BKCHCLRM,"BANK OF CHINA, AGENCIA EN CHILE","AVENIDA ANDRES BELLO 2457, FLOOR 16 COSTANERA CENTER TORRE DOS SANTIAGO, PROVINCIA DE SANTIAGO",SANTIAGO,CL,CHILE,1
EBPAPLP1XXX,EBPAPLP1,EBURY PARTNERS UK LIMITED,"UL KROLEWSKA 18  WARSZAWA, MAZOWIECKIE, 00-103",WARSZAWA,PL,POLAND,1
BEHMMCMCXXX,BEHMMCMC,BESINS HEALTHCARE MONACO SAM,"LOT 777 , FLOOR RDC, LES TERRASSES DU PORT 2 AVENUE DES LIGURES MONACO, MONACO, 98000",MONACO,MC,MONACO,1
PTFIPLPWBUR,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWDIA,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWRUB,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWSZA,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWSZM,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
BCHICLRMCUS,BCHICLRM,BANCO DE CHILE,,SANTIAGO,CL,CHILE,
ESPYBGS1XXX,ESPYBGS1,EASYPAY AD,"IVAN VAZOV STR 16  SOFIA, SOFIA, 1000",SOFIA,BG,BULGARIA,1
PHPYMTM1XXX,PHPYMTM1,PHOENIX PAYMENTS LTD,"SOUTH STREET  VALLETTA, VALLETTA, VLT 1103",VALLETTA,MT,MALTA,1
TRUDBG21XXX,TRUDBG21,TRANSACT EUROPE EAD,"KARNIGRADSKA 19  SOFIA, SOFIA, 1000",SOFIA,BG,BULGARIA,1
